Customer#,Store Name,Address,City,State,Phone1,Term,Balance,Credit,Last Amount
MI2037HKIN,KEYAIR NICO LLC,167 MANCHESTER PKWY,HIGHLAND PARK,MI,313-850-2037,CREDIT,$0.00 ,$0.00 ,$0.00 
OH4100DLRK,KING J FASHION & BEAUTY,2050 LOCKBOURNE RD.,COLUMBUS,OH,614-443-4100,CHECK,$712.08 ,$0.00 ,$712.08 
SC0066DLRK,KING'S BEAUTY,6432 TWO NOTCH RD. #L,COLUMBIA,SC,803-786-0066,NET30,$0.00 ,$0.00 ,$309.00 
SC9099TBM,KINGS BEAUTY SUPPLY (MAULDIN SC),117 W. BUTLER RD.,MAULDIN,SC,864-676-9099,NET30,"$2,707.34 ",$0.00 ,"$1,570.38 "
GA1868WK,"KLY GROUPS, INC.",2885 N. BERKELEY LAKE RD. NW SUITE #16,DULUTH,GA,470-282-1868,CHECK,$0.00 ,$0.00 ,"$6,258.60 "
CA9930WK,KORI AMERICA INC.,3115 S. MAIS ST.,LOS ANGELES,CA,213-748-9930,NET30,"$29,357.34 ",$0.00 ,"$12,891.59 "
NC6442IN,L&K LUXURY PONYTAILS AND WIGS,51 BUCK SHOALS RD,ARDEN,NC,828-767-6442,CREDIT,$0.00 ,$0.00 ,$39.99 
SC5796IN,LAKEISHA M WAITERS,2065 S CENTER RD,DARLINGTON,SC,843-610-5796,CREDIT,$0.00 ,$0.00 ,$46.87 
AL5768HKIN,LAKEISHA WILLIAMS,127 MISTY RIVER LANE SW,HUNTSVILLE,AL,205-821-5768,CREDIT,$0.00 ,$0.00 ,$0.00 
CA9401HKIN,LEAISHAH TURNER,1406 PINOLE VALLEY ROAD,PINOLE,CA,510-731-9401,CREDIT,$0.00 ,$0.00 ,$44.44 
AL1699RK,LEE BEAUTY SUPPLY,1995 COLISEUM BLVD.,MONTGOMERY,AL,334-244-1699,NET30,$0.00 ,$0.00 ,$355.05 
OH1373IN,LEIA' LOVE HAIR & NAIL SALON LLC.,2950 W. MARKET ST.  SUITE K,FAIRLAWN,OH,330-338-1373,CREDIT,$0.00 ,$0.00 ,$166.00 
TX8094IN,LEONDRA WASHINGTON,12818 SANDHURST DR,HOUSTON,TX,832-457-8094,CREDIT,$0.00 ,$0.00 ,$0.00 
TX8380IN,LIFESTYLE LUXE,4910 BRICKER ST,HOUSTON,TX,832-729-8380,CREDIT,$0.00 ,$0.00 ,$94.53 
NY7931RN,LISA STATEN ISLAND BEAUTY SALON,472 JERSEY ST,STATEN ISLAND,NY,7-962-7931,CREDIT,$0.00 ,$0.00 ,$492.00 
MN2009RN,LOC'D UP KREATIONZ STUDIO,301 AVENUE D,CLOQUET,MN,218-269-2009,CREDIT,$0.00 ,$0.00 ,"$1,218.00 "
TX3485KMWK,"LUCKY TRADING, INC.",11252 HARRY HINES BLVD. SUITE # 202,DALLAS,TX,972-243-3485,CREDIT,$0.00 ,$0.00 ,"$5,377.68 "
NY0775IN,LYALA JONES,1735 YORK AVE 16D,NEW YORK,NY,914-330-0775,CREDIT,$0.00 ,$0.00 ,$0.00 
ON9588WK,MAGIC BM TRADING CO LTD,140 WENDELL AVE UNIT 3,TORONTO  ONTARIO,,416-256-9588,WIRE,$0.00 ,$0.00 ,
FL9421IN,MAHOGANY SALON AND SPA,4130 BEAR LAKES CT #303,WEST PALM BEACH,FL,954-200-9421,CREDIT,$0.00 ,$0.00 ,$178.37 
MD7384IN,MAIN STREET BARBERSHOP,804 E MAIN ST,SALISBURY,MD,443-736-7384,CREDIT,$0.00 ,$0.00 ,$81.63 
AL1567RK,"MAMMOTH BEAUTY, INC.#1",181-A EASTERN BLVD,MONTGOMERY,AL,334-593-1567,NET30,"$4,870.79 ",$0.00 ,$519.60 
AL2616RK,"MAMMOTH BEAUTY, INC.#2",5064 VAUGHN RD.,MONTGOMERY,AL,,NET30,"$1,191.84 ",$0.00 ,$656.80 
TN8026IN,MARC  JOPLIN,2829 STAGE PARK DR.,MEMPHIS,TN,901-485-5411,CREDIT,$0.00 ,$0.00 ,$61.76 
TX7240RN,"MEG RENNINGER, LLC.",1504 FAIRMOUNT AVE.,FORT WORTH,TX,817-301-7240,CREDIT,$0.00 ,$0.00 ,
AZ8837IN,MELVIRA'S HAIR STUDIO,6900 EAST BROADWAY BLVD,TUCSON,AZ,520-409-8837,CREDIT,$0.00 ,$0.00 ,$0.00 
IL3777IN,MERLIN  KING,9817  SOUTH PARNELL AVE.,CHICAGO,IL,773-445-3777,CREDIT,$0.00 ,$0.00 ,$40.65 
NY7279IN,MINNIE CALDWELLHALL,9510 TRANSIT ROAD APT 238,EAST AMHERST,NY,716-541-7279,CREDIT,$0.00 ,$0.00 ,
MS6953IN,MIRIAM TURNER,217 EASTWOOD DRIVE,COLUMBUS,MS,254-319-6953,CREDIT,$0.00 ,$0.00 ,$0.00 
IL0900WK,MISSION TRADING,6324 GROSS POINT RD.,NILES,IL,847-647-0900,NET30,"$20,423.55 ",$0.00 ,"$2,811.25 "
TX8035IN,MISTURA LONGEOTTO,3411 BRINMONT PLACE LANE,KATY,TX,832-213-8035,CREDIT,$0.00 ,$0.00 ,$111.75 
NJ5791IN,MONIQUE BALDON,543 HEMLOCK ST,RAHWAY,NJ,9083805791,CREDIT,$0.00 ,$0.00 ,$0.00 
NC6852IN,MONIQUE MICHELLE THE STUDIO,2712 LOMOND STREET,WINSTON-SALEM,NC,336-414-6852,CREDIT,$0.00 ,$0.00 ,$0.00 
FL8491IN,NAKI,629 LA SALLE DR,ALTAMONTE SPRINGS,FL,321-439-8491,CREDIT,$331.18 ,$0.00 ,$331.18 
FL2891IN,NAOMIE G HAIR BRAIDING INC,4636 CASON COVE DR  APT 509,ORLANDO,FL,407-800-2891,CREDIT,$0.00 ,$0.00 ,$50.65 
NY6433IN,NATISHA  SEALY,65 WOODLAWN  AVE,RONKONKOMA,NY,404-547-6433,CREDIT,$0.00 ,$0.00 ,$75.00 
MS2623IN,NELL'S UNIQUE BEAUTY SALON,12091 HWY 503,NEWTON,MS,601-513-2623,CREDIT,$36.28 ,$0.00 ,$36.28 
DE7290HKRN,NEWTOWN HAIR & BEAUTY SUPPLY,865 N. BROAD ST.,MIDDLETOWN,DE,302-376-7290,CREDIT,$0.00 ,$0.00 ,$865.50 
TX1217IN,NIVAY SERVICES LLC,21103 PRAIRIE GREEN COURT,RICHMOND,TX,832-495-1217,CREDIT,$0.00 ,$0.00 ,$114.98 
IL0151WK,NOAH INTERNATIONAL CO.,225 LARKIN DR. UNIT #6,WHEELING,IL,847-520-8272,NET30,"$27,254.53 ",$0.00 ,"$5,568.90 "
AB5663WN,NYLA BEAUTY SUPPLY INC,1000-9TH AVENUE SW    UNIT 102,CALGARY,AB,403-400-5663,WIRE,$0.00 ,$0.00 ,$16.00 
CA0572WK,OH TRADING,13220 S. WESTERN AVE,GARDENA,CA,213-905-0572,COD,"$43,028.82 ",$0.00 ,"$8,980.92 "
GA6441RK,OK BEAUTY & FASHION,107 WEST JEFFERSON ST.,AMERICUS,GA,229-931-6441,NET30,$0.00 ,$0.00 ,$576.24 
NY0938IN,OMAR GRAHAM,778 REMSEN AVENUE,BROOKLYN,NY,917-873-0938,CREDIT,$0.00 ,$0.00 ,$60.86 
MD3150HKWK,P&J TRADING (MD),8265 PATUXENT RANGE RD. SUITE #F,JESSUP,MD,301-310-1200,NET60,"$158,238.74 ",$0.00 ,"$13,020.70 "
NJ4716IN,PALACE BEAUTY SUPPLY LIMITED ,138  BLOOMFIELD  AVE,NEWARK,NJ,973-483-4716,CREDIT,$0.00 ,$0.00 ,"$1,085.00 "
NY9384DLWK,PALMS FASHION INC.,146W. 29TH ST.,NEW YORK,NY,212-779-9384,COD,$0.00 ,$0.00 ,"$5,109.96 "
NY5126IN,PAUL CHAPMAN,1382 DUMONT AVE,BROOKLYN,NY,917-921-5126,CREDIT,$86.86 ,$0.00 ,$86.86 
MD8000JMWK,PAUL'S BEAUTY WHOLESALE,8601 RITCHIE DR. STE.#A,CAPTOL HEIGHTS,MD,301-333-8000,NET30,$481.65 ,$0.00 ,$481.65 
PA4761IN,PER'RIHON,2726 TREE TERRACE,PHILADELPHIA,PA,424-558-4761,CREDIT,$0.00 ,$0.00 ,$0.00 
PGM SALES,PGM SALES,1550 BIRCHWOOD AVE.,DES PLAINES,IL,847-375-0099,NET30,"$43,963.98 ",$0.00 ,"$11,595.70 "
IL8080WK,"PK INTERNATIONAL, INC.",5445 N. ELSTON AVENUE.,CHICAGO,IL,773-282-8080,NET60,"$89,325.76 ",$81.00 ,"$75,561.16 "
NJ7569HKWK,PKNY INTERNATIONAL INC.,1 CAESAR PLACE,MOONACHIE,NJ,201-939-7569,NET60,"$38,027.00 ",$0.00 ,"$38,027.00 "
TN7582WK,"POPULAR PRODUCTS, INC.",816 JACKSON AVE.,MEMPHIS,TN,901-526-7582,NET 45,"$19,470.02 ",$0.00 ,"$4,826.72 "
WA6268IN,POSITIVE VIBES,1911 S COMMONS,FEDERAL WAY,WA,206-355-6268,CREDIT,$0.00 ,$0.00 ,$535.00 
NJ8548JMWK,PRIME CK,200 WHITEHEAD RD   SUITE #202-B,TRENTON,NJ,609-588-8988,COD,"$106,788.38 ",$38.48 ,"$8,084.31 "
MD2841HKRN,QUEEN'S BEAUTY SUPPLY,2709 LAURETTA  AVE.,BALTIMORE,MD,443-931-2841,CREDIT,$0.00 ,$0.00 ,$585.00 
NY3178HKRK,QUEEN'S BEAUTY SUPPLY,109-72 FRANCIS LEWIS BLVD.,QUEENS VILLAGE,NY,718-479-3178,CREDIT,$0.00 ,$0.00 ,$486.44 
MD5117IN,RACHEL RICKS,3423 EDCREST RD,WINDSOR MILL,MD,410-227-5117,CREDIT,$0.00 ,$0.00 ,$63.26 
CA5989IN,REGGAE WORLD,6671 MULBERRY ST,SAN DIEGO,CA,619-296-5989,CREDIT,$0.00 ,$0.00 ,$118.27 
CA8249IN,ROBERT CLARK,2671 RENO DR.,SAN JOSE,CA,408-639-8249,CREDIT,$0.00 ,$0.00 ,$84.00 
CA9360HKIN,ROBERTA ROGERS,369 S DOHENY DR  #145,BEVERLY HILLS,CA,323-228-9360,CREDIT,$0.00 ,$0.00 ,$305.29 
OH9945RK,ROSE BEAUTY SUPPLY,644 N. HOWARD ST.,AKRON,OH,330-376-9945,NET30,$0.00 ,$0.00 ,$667.04 
OK2337IN,S & W BEAUTY SUPPLY,205 W BROADWAY ST,ALTUS,OK,580-649-2337,CREDIT,$238.19 ,$0.00 ,$238.19 
OH0249RK,S AND K BEAUTY LLC,914 N CABLE RD,LIMA,OH,513-771-0249,CREDIT,$0.00 ,$0.00 ,$595.58 
FL0472IN,SAMMY HAKIM,1965 S OCEAN DR  UNIT 9E,HALLANDALE BEACH,FL,954-681-0472,CREDIT,$0.00 ,$0.00 ,$0.00 
IL9340WK,SAM'S BEAUTY,1000 E BUSINESS CENTER DR,MT PROSPECT,IL,847-966-9340 X1,COD,$0.00 ,$0.00 ,"$1,231.20 "
SC8835IN,SAMUEL FLOYD,7305 BROWN THRASHER CT.,HANAHAN,SC,843-553-8835,CREDIT,$0.00 ,$0.00 ,$61.50 
GA9387DLRK,SANDY'S HAIR CARE,2625 PIEDMONT RD.,ATLANTA,GA,404-239-9387,NET30,$0.00 ,$0.00 ,$580.64 
AZ7865IN,SARA KASINECZ,6239 E GLENCOVE CIR  APT 4,MESA,AZ,480-330-7865,CREDIT,$0.00 ,$0.00 ,$0.00 
CA8801IN,SASHA  JACKSON-ROSS,251 CADLONI LANE  B,VALLEJO,CA,707-720-8801,CREDIT,$0.00 ,$0.00 ,$44.44 
FL0643IN,SASSY SISTA'S BOUTIQUE,6302 BAYHILL LN,LONGWOOD,FL,407-383-0643,CREDIT,$0.00 ,$0.00 ,$81.26 
BA1727WN,SECOND STEP INC,BROAD STREET BRIDGETOWN,ST. MICHAEL,,246-622-1727,WIRE,$0.00 ,$0.00 ,
FL4933IN,SEW IN LOVE BEAUTY STUDIO,4515 N. W. 3RD COURT,PLANTATION,FL,954-288-4933,CREDIT,$0.00 ,$0.00 ,$0.00 
MD7958IN,SHAKIRAT  IBRAHIM,8603 GRAY FOX ROAD  APT  201,RANDALLSTOWN,MD,443-626-7958,CREDIT,$0.00 ,$0.00 ,$127.79 
SC1030DLRK,SHASA BEAUTY SUPPLY,1019 BROAD ST,SUMTER,SC,803-776-1030,CREDIT,$0.00 ,$0.00 ,"$1,204.98 "
GA0526IN,SHAWNTIQUE  FROST,1049 GREENDALE LANE,JONESBORO,GA,404-981-0526,CREDIT,$0.00 ,$0.00 ,$0.00 
FL3722IN,SHEAR ESSENCE WEAVE COLLEGE,6100 GREENLAND ROAD  STE 602,JACKSONVILL,FL,904-683-3722,CREDIT,$0.00 ,$0.00 ,$142.69 
ON5959WN,SHEKINA IMPORT & EXPORT,2 JODY AVE. UNIT B,NORTH YORK,ON,416-792-5282,CASH,$0.00 ,$0.00 ,"$1,600.94 "
TX7160RK,SHINE BEAUTY SUPPLY,"5011 HIGHWAY 6, STE #110",MISSOURI CITY,TX,281-261-7160,COD,$0.00 ,$0.00 ,"$1,672.00 "
TT5909WN,SIX A'Z TRADERS LIMITED,40 REALIZE JUNCTION RD.,PRINCE TOWN  TRINIDA,,868-655-5909,CREDIT,$0.00 ,$0.00 ,"$4,853.55 "
NC2869RK,SMILEY'S BEAUTY SUPPLY,2090 CLUB POND RD.,RAEFORD,NC,910-848-2380,NET30,"$1,039.38 ",$0.00 ,"$1,039.38 "
DC5066JMWK,SONG'S WHOLESALE,5015 LAWRENCE PL,HYATTSVILLE,MD,240-582-6991,NET30,"$6,556.86 ",$0.00 ,"$1,810.02 "
CA9461IN,SOTHEARA SIV,9063 SHERILL CT,STOCKTON,CA,2099929461,,$0.00 ,$0.00 ,$94.06 
KS0922RK,STAR BEAUTY  #1,4704 VIRGINIA   AVE.,KANSAS CITY,MO,913-888-0922 (K,CREDIT,$0.00 ,$29.10 ,($29.10)
KS09222RK,STAR BEAUTY #2,13300 W 87TH ST PKWY,LENEXA,KS,913-888-0922,CREDIT,$0.00 ,$0.00 ,$401.87 
MO5853RK,STAR BEAUTY #3,4201 S NOLAND RD SUITE K,INDEPENDENCE,MO,816-313-5853,CREDIT,$0.00 ,$0.00 ,$796.18 
TX8486RK,STAR BEAUTY SUPPLY,9460 N. MACARTHUR BLVD,IRVING,TX,972-444-8486,CREDIT,$0.00 ,$0.00 ,
GA0096HKIN,STEFFAN SPURGEON,3454 COACH CT,GAINESVILLE,GA,415-903-0096,CREDIT,$0.00 ,$0.00 ,$0.00 
GA5478HKWK,SUN 3 TRADING LLC.,3640BURNETTE PARK DR. SUITE#C,SUWANEE,GA,678-765-2104,NET60,"$133,926.17 ",$764.28 ,($370.98)
FL3414RW,SUNRISE CORPORATION,5019 NW 165TH ST.,MIAMI LAKES,FL,305-624-3414,COD,$0.00 ,$0.00 ,"$2,951.08 "
NC8440RK,SUPER BEAUTY WORLD,3615 SYCAMORE DAIRY RD.,FAYETTEVILLE,NC,910-826-8440,COD,"$1,704.87 ",$0.00 ,"$1,704.87 "
TN5031IN,TAMEEKA  LEDIARD,2921 OLD FRANKLIN RD  APT 1223,ANTIOCH,TN,347-762-5031,CREDIT,$0.00 ,$0.00 ,$0.00 
CT7264IN,TANISHA  GODBOLT,735 HIGH STREET,NAUGATUCK,CT,832-794-7264,CREDIT,$0.00 ,$0.00 ,
TEST,TEST,TEST,TEST,TE,TEST,CHECK,$0.00 ,$0.00 ,$0.00 
TX3626IN,TESTIMONIAL HAIR DESIGNS,816 S.  31ST  STREET,TEMPLE,TX,254-760-3626,CREDIT,$0.00 ,$0.00 ,
GA0000RK,THE ATTIC RESTAURENT,1344 WASHINGTON ST,CLARKESVILLE,GA,,CHECK,$0.00 ,$0.00 ,$137.50 
CA3003IN,THE BEAUTY HAVEN,14512 RUTLEDGE SQ.,SAN DIEGO,CA,858-583-3003,CREDIT,$0.00 ,$0.00 ,$74.33 
NY4951IN,THE HAIR HIVE,1413 FILLMORE AVENUE,BUFFALO,NY,716-310-4951,CREDIT,$0.00 ,$0.00 ,$238.00 
OH7930IN,THE HIVE,7123 QUAIL LAKES DRIVE,TOLEDO,OH,419-297-7930,CREDIT,$0.00 ,$0.00 ,$107.50 
TX0655IN,THE LYSANDER ELEMENT,518 COUNTY ROAD 2250,GRAPELAND,TX,936-581-0655,CREDIT,$0.00 ,$0.00 ,$129.00 
AR8252IN,THE PERFECT HAIR STORE,4107 B NIGHTINGALE LANE  ,SPRINGDALE,AR,479-361-8252,CREDIT,$0.00 ,$0.00 ,$94.49 
OK7283IN,THE RAVE HAIR SALON & BOUTIQUE,11009 N MILLER AVE,OKLAHOMA CITY,OK,405-942-7283,CREDIT,$0.00 ,$0.00 ,$111.75 
BM0177WN,THE SALON STORE,81 REID ST.,HAMILTON   HM12,,441-295-0177,WIRE,$0.00 ,$0.00 ,"$1,118.50 "
NC4002IN,THE STYLE LOUNGE,917 TRAIL EIGHT  APT B,BURLINGTON,NC,336-260-4002,CREDIT,$0.00 ,$0.00 ,$0.00 
CA6151RN,TIENDITA BEAUTY SUPPLY,8148 SEPULVEDA BLVD,PANORAMA CITY,CA,818-895-6151,CREDIT,$0.00 ,$0.00 ,"$1,040.00 "
TX0666IN,TIFFANEY SHINE,14006 LANCEOAK CT,HOUSTON,TX,281-449-0666,CREDIT,$0.00 ,$0.00 ,$49.76 
CA6602IN ,TINA DONALDSON,368 SPROWL CREEK ROAD,GARBERVILLE,CA,707-683-6602,CREDIT,$0.00 ,$0.00 ,$0.00 
MI9111RK,TNT BEAUTY SUPPLY,3518 E. MAIN ST.,KALAMAZOO,MI,269-388-9111,NET30,"$3,429.99 ",$0.00 ,"$2,110.08 "
MD9033IN,TOKS TOKS,9702 SOUTHALL RD  APT 202,RANDALLSTOWN,MD,667-203-9033,CREDIT,$0.00 ,$0.00 ,$0.00 
AL5421KR,TQ USA INC,-,,AL,334-730-5421,CHECK,$0.00 ,$0.00 ,"$1,440.00 "
NM6085RN,TRENDZ BEAUTY SUPPLY,3924 MENAUL BLVD,ALBUQUERQUE,NM,505-264-6085,CREDIT,$0.00 ,$0.00 ,"$2,039.54 "
OH0493IN,TRI-INDULGENCE BEAUTY,6321 JAMES ROUSE BLVD,CANAL WINCHESTER,OH,330-941-0493,CREDIT,$0.00 ,$0.00 ,$136.83 
OH4714IN,TRISHA  EDMOND,7881 KINGS RIDGE CIR,FAIRBORN,OH,4439554714,,$0.00 ,$0.00 ,$55.33 
NY5025IN,TYRA  DJIGAL,301 W  146 ST,NEW YORK,NY,917-517-5025,CREDIT,$0.00 ,$0.00 ,$167.53 
NV0027RN,TYS BEAUTY SUPPLY,4780 W  ANN RD  STE 2,NORTH LAS VEGAS,NV,702-696-0027 ,CREDIT,$0.00 ,$0.00 ,"$1,235.70 "
CA9254JMWK,UBS,7111 MCNEIL LN. SUITE #210,BUENA PARK,CA,714-356-9254,COD,"$1,917.00 ",$0.00 ,"$1,917.00 "
CA8949HKWK,UNI FASHION TRADING,1671 ROGERS AVE.,SAN JOSE,CA,408-436-8949,COD,"$14,307.20 ",$0.00 ,"$6,254.00 "
TX1616WK,"UNION SALES, INC.",7645 DASHWOOD DR.,HOUSTON,TX,713-781-1616,NET30,"$104,767.48 ",$0.00 ,"$104,767.48 "
GA0001JMWK,US IMPORT,3400 OAKCLIFF RD. SUITE #A7A,DORAVILLE,GA,770-455-0001,NET30,"$19,614.65 ",$0.00 ,"$1,502.42 "
NC0506DLWK,US TRADING,2115 N. GRAHAM ST.,CHARLOTTE,NC,704-375-0506,NET30,"$12,467.80 ",$0.00 ,$376.20 
FL5002DLWK,"USA BEAUTY CARE, INC.",2090 NW. 13TH  AVE,MIAMI,FL,305-548-5002,NET30,$0.00 ,$0.00 ,"$6,566.40 "
CA1852IN,VANESSA  HARRIS,333 EAST CT,SAN JOSE,CA,408-294-1852,CREDIT,$0.00 ,$0.00 ,$58.06 
NC3038IN,VENECIA LOWERY,915 S  AUSTIN RD,MARSHVILLE,NC,704-796-3038,CREDIT,$0.00 ,$0.00 ,$0.00 
CA2097IN,VICTOR COLBERT,920 BLUE STREET   APT. 3,MARYSVILLE,CA,901-634-2097,CREDIT,$0.00 ,$0.00 ,$62.06 
GA7349IN,VICTORIA BROWN,1015 JERNIGAN STREET  ,PERRY,GA,478-224-7349,CREDIT,$0.00 ,$0.00 ,$0.00 
TX4220RK,VIP BEAUTY SUPPLY,2000 9TH ST.,WICHITA FALLS,TX,940-761-4220,CREDIT,$0.00 ,$0.00 ,$0.00 
NC7363DL,WAKE BEAUTY,12227 CAPITAL BLVD,WAKE FOREST,NC,919-562-7363,NET30,"$2,334.90 ",$0.00 ,"$2,334.90 "
CO6586IN,WAYMAN  BANKS,10020 W 8TH  AVE,LAKEWOOD,CO,720-234-6586,CREDIT,$0.00 ,$0.00 ,$42.02 
IL9954IN,WAYNE CARTER,8029 S WENTWORTH AVE,CHICAGO,IL,,CREDIT,$0.00 ,$0.00 ,$46.10 
TX1314RK,WIGS & BEAUTY SUPPLIES,2200 W. PECAN ST,PFLUGERVILLE,TX,512-838-1314,COD,"$1,160.10 ",$10.80 ,"$1,160.10 "
TX6471IN,WILLIAMS BARBER COLLEGE,520 S WW WHITE RD,SAN ANTONIO,TX,210-337-6471,CREDIT,$0.00 ,$0.00 ,$392.08 
OK3334RK,WORLD BEAUTY MART,344 EAST SIDE BLVD,MUSKOGEE,OK,918-683-3334,CREDIT,$0.00 ,$0.00 ,$972.65 
GA9187HKWK,"WURI TRADING, INC.","3630 BURNETTE PARK DR., SUITE #C",SUWANEE,GA,470-266-1019,NET60,"$208,152.81 ","$1,402.20 ","$1,920.90 "
TX9999HKIN,YOLANDA BOYD,820 S MACARTHUR BLVD  105-161,COPPELL,TX,214-999-9999,CREDIT,$0.00 ,$0.00 ,$167.49 
GA9878JMWK,YOUNG'S TRADING,5730 BUFORD HWY,DORAVILLE,GA,770-936-9878,NET60,"$183,302.19 ",$68.40 ,"$8,646.90 "
TX6405IN,ZEBRENA  VAUGHN,435 SHADY ROCK LANE,HOUSTON,TX,281-923-6405,CREDIT,$0.00 ,$0.00 ,$92.89 
